# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12451310811
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_classify                                                                                                                                                                                                                                                                                                                                                               -      -
     0.04%  [.] lean_alloc_object                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__1___redArg                                                                                                                                                                                                                                                            -      -
     0.04%  [.] mi_stats_add(mi_stats_s*, mi_stats_s const*)                                                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] lean_apply_9                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitNontrivial                                                                                                                                                                                                                                                                                                                                                        -      -
     0.04%  [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.04%  [.] __gmp_default_reallocate                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.04%  [.] l___private_Init_Data_Array_Basic_0__Array_anyMUnsafe_any___redArg___lam__0___boxed                                                                                                                                                                                                                                                                                                                     -      -
     0.04%  [.] mi_bbitmap_try_find_and_clear_generic(mi_bbitmap_s*, unsigned long, unsigned long, unsigned long*, bool (*)(mi_bchunk_s*, unsigned long, unsigned long*))                                                                                                                                                                                                                                               -      -
     0.04%  [.] __gmpz_init                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_orbjoin_spec__2___redArg                                                                                                                                                                                                                                                                          -      -
     0.04%  [.] l_Nat_decLe___boxed                                                                                                                                                                                                                                                                                                                                                                                     -      -
