n,step,dividend_degree,divisor_degree,next_remainder_degree,next_remainder_zero,divisor_num_max,divisor_den_max,divisor_total_bits,cofactor_num_max,cofactor_den_max,coefficient_ops,bit_work,limb_work
96,48,49,48,47,false,221,221,20865,215,217,340,447202,7907
96,49,48,47,46,false,223,223,20762,218,221,341,462040,8020
96,50,47,46,45,false,239,236,21683,235,235,342,490165,8452
96,51,46,45,44,false,255,252,22596,248,248,343,521377,8776
96,52,45,44,43,false,273,274,23816,268,272,344,562532,9866
96,53,44,43,42,false,294,294,25002,289,293,345,607347,10402
96,54,43,42,41,false,309,307,25582,304,304,346,644784,10838
96,55,42,41,40,false,321,321,26098,316,319,347,677404,11107
96,56,41,40,39,false,337,334,26610,330,332,348,712076,12192
96,57,40,39,38,false,356,356,27464,350,353,349,755057,12751
96,58,39,38,37,false,380,380,28568,372,377,350,805947,13399
96,59,38,37,36,false,399,396,29153,392,391,351,852546,14505
96,60,37,36,35,false,419,419,29942,412,416,352,901037,15014
96,61,36,35,34,false,435,435,30306,429,433,353,945051,15508
96,62,35,34,33,false,455,451,30620,448,449,354,983661,16198
96,63,34,33,32,false,461,451,29835,452,447,355,1002629,16411
96,64,33,32,31,false,486,484,30910,481,483,356,1058991,17414
96,65,32,31,30,false,506,505,31284,502,505,357,1118080,18248
96,66,31,30,29,false,528,527,31571,524,527,358,1170869,19410
96,67,30,29,28,false,543,543,31377,539,541,359,1212988,19905
96,68,29,28,27,false,557,558,31035,551,554,360,1249629,20392
96,69,28,27,26,false,579,578,31198,576,578,361,1301827,21270
96,70,27,26,25,false,597,597,30915,591,596,362,1348663,22233
96,71,26,25,24,false,611,610,30339,604,608,363,1384860,22527
96,72,25,24,23,false,625,624,29887,620,622,364,1424153,23178
96,73,24,23,22,false,636,636,29151,631,635,365,1457866,23400
96,74,23,22,21,false,646,646,28298,640,642,366,1483643,23777
96,75,22,21,20,false,661,660,27624,657,659,367,1522457,24889
96,76,21,20,19,false,680,677,27030,673,676,368,1566181,25393
96,77,20,19,18,false,691,690,26125,684,688,369,1602553,25939
96,78,19,18,17,false,700,696,25010,691,692,370,1627529,26160
96,79,18,17,16,false,711,709,24029,703,706,371,1658764,26688
96,80,17,16,15,false,726,726,23109,717,721,372,1697009,27733
96,81,16,15,14,false,739,741,22160,734,740,373,1743177,28185
96,82,15,14,13,false,759,758,21173,753,756,374,1787556,28862
96,83,14,13,12,false,773,775,20086,768,774,375,1834348,29479
96,84,13,12,11,false,793,793,18990,788,792,376,1885625,30507
96,85,12,11,10,false,803,803,17622,796,800,377,1919236,30875
96,86,11,10,9,false,814,814,16242,808,812,378,1952585,31542
96,87,10,9,8,false,825,824,14808,819,823,379,1987000,31816
96,88,9,8,7,false,837,837,13364,831,835,380,2022902,32342
96,89,8,7,6,false,852,850,11892,845,849,381,2062923,33450
96,90,7,6,5,false,865,863,10364,860,863,382,2103797,33822
96,91,6,5,4,false,874,874,8720,867,872,383,2134189,34304
96,92,5,4,3,false,880,880,7025,874,877,384,2158522,34626
96,93,4,3,2,false,891,894,5354,886,891,385,2193474,34920
96,94,3,2,1,false,907,907,3622,900,906,386,2234955,36062
96,95,2,1,0,false,926,922,1850,921,922,387,2283627,36643
96,96,1,0,0,true,1,1,2,938,943,388,1435472,23292
